Designator,Mid X,Mid Y,Rotation,Layer
J1_4,128.3225,-62.73,270.0,top
J1_3,128.2475,-24.955,270.0,top
J1_2,28.9525,-50.945,90.0,top
J1,29.11,-88.62,90.0,top
J2_4,140.9825,-74.4,180.0,top
J2_3,16.45,-76.95,0.0,top
J2_2,140.9075,-36.625,180.0,top
J2,16.2925,-39.275,0.0,top
J4_4,90.76,-62.78,270.0,top
J4_3,66.6725,-88.57,90.0,top
J4_2,66.515,-50.895,90.0,top
J4,90.685,-25.005,270.0,top
J5_4,71.81,-25.005,270.0,top
J5_3,85.39,-50.895,90.0,top
J5_2,85.5475,-88.57,90.0,top
J5,71.885,-62.78,270.0,top
J6_4,104.3725,-88.67,90.0,top
J6_3,104.215,-50.995,90.0,top
J6_2,53.06,-62.68,270.0,top
J6,52.985,-24.905,270.0,top
J7_4,33.935,-24.88,270.0,top
J7_3,34.01,-62.655,270.0,top
J7_2,123.4225,-88.695,90.0,top
J7,123.265,-51.02,90.0,top
J8_4,47.7075,-50.97,90.0,top
J8_3,47.865,-88.645,90.0,top
J8_2,109.4925,-24.93,270.0,top
J8,109.5675,-62.705,270.0,top
